ROOM;Foyer;Du bist im Foyer.;tbd
ROOM;Flur;Ein langer Flur.;tbd
ROOM;Labor;Ein chemisches Labor.;tbd
ROOM;Lager;Ein Raum voller Kisten.;tbd
ROOM;Büro;Ein kleines Büro.;tbd
ROOM;Keller;Ein dunkler Keller.;tbd
ROOM;Werkstatt;Hier liegen Werkzeuge.;tbd
ROOM;Serverraum;Überall blinken Lichter.;tbd

STARTROOM;Foyer

EXIT;Foyer;n;Flur
EXIT;Flur;s;Foyer
EXIT;Flur;n;Labor
EXIT;Flur;o;Büro
EXIT;Flur;w;Lager
EXIT;Labor;s;Flur
EXIT;Büro;w;Flur
EXIT;Lager;o;Flur
EXIT;Labor;r;Keller
EXIT;Keller;h;Labor
EXIT;Keller;o;Werkstatt
EXIT;Werkstatt;w;Keller
EXIT;Werkstatt;o;Serverraum
EXIT;Serverraum;w;Werkstatt
